userID,userRating,Name of Movie,Genre,Year of Release,Watch time,Meta Score,Votes,Gross Collection($)
4275,5,Some Kind of Beautiful,"Comedy,Romance",II 2014,99,11,****,****
163,2,Run Hide Fight,"Action,Crime,Drama",2020,109,13,****,****
1400,3,The Accidental Husband,"Comedy,Romance",2008,90,14,****,****
8567,3,The Layover,"Comedy,Romance",I 2017,88,15,****,****
5800,4,Sidney Hall,"Drama,Mystery,Romance",2017,119,18,****,****
6483,2,The Ridiculous 6,"Action,Adventure,Comedy",2015,119,18,****,****
6002,1,Momentum,"Action,Crime,Thriller",I 2015,96,18,****,****
6007,5,Polar,"Action,Thriller",I 2019,118,19,****,****
3891,5,Day of the Woman,"Horror,Thriller",1978,101,19,****,****
155,2,The Sentinel,Horror,1977,92,19,****,****
8177,4,Reasonable Doubt,"Crime,Drama,Thriller",2014,91,19,****,****
7463,2,Would You Rather,"Horror,Thriller",2012,93,20,****,****
4187,3,A Family Man,Drama,2016,108,21,****,****
519,5,Grace of Monaco,"Biography,Drama,Romance",2014,103,21,****,****
332,3,The Car,"Action,Horror,Mystery",1977,96,21,****,****
7477,2,The Angriest Man in Brooklyn,"Comedy,Drama",2014,83,21,****,****
4166,1,The Do-Over,"Action,Adventure,Comedy",2016,108,22,****,****
3520,3,The Babysitter: Killer Queen,"Comedy,Horror",2020,101,22,****,****
5359,5,Home Sweet Hell,"Comedy,Crime,Thriller",2015,98,22,****,****
6673,5,The Tax Collector,"Action,Crime,Drama",2020,95,22,****,****
8180,4,Cannibal Holocaust,"Adventure,Horror",1980,95,22,****,****
4908,3,Maniac,"Crime,Drama,Horror",1980,87,22,****,****
8736,1,Chopping Mall,"Comedy,Horror,Sci-Fi",1986,77,22,****,****
9560,2,The Cobbler,"Comedy,Drama,Fantasy",2014,99,23,****,****
6116,4,Home Team,"Comedy,Sport",2022,95,23,****,****
4656,5,American Heist,"Action,Crime,Drama",2014,94,23,****,****
8760,4,Pay the Ghost,"Horror,Mystery",2015,94,23,****,****
753,2,Return to Sender,"Drama,Thriller",I 2015,92,23,****,****
8488,2,Happy Birthday to Me,"Horror,Mystery,Thriller",1981,111,24,****,****
7571,5,Misconduct,"Crime,Drama,Mystery",2016,106,24,****,****
8570,1,Bailout: The Age of Greed,"Action,Crime,Thriller",2013,99,24,****,****
2093,4,Playing with Fire,"Comedy,Family",I 2019,96,24,****,****
4430,4,Me Time,Comedy,2022,101,25,****,****
6917,3,Welcome to the Jungle,"Action,Adventure,Comedy",I 2013,95,25,****,****
4700,1,The Silence,"Drama,Horror,Sci-Fi",II 2019,90,25,****,****
9793,3,The Ottoman Lieutenant,"Drama,War",2017,106,26,****,****
2728,3,The Haunting in Connecticut 2: Ghosts of Georgia,"Drama,Horror,Mystery",2013,101,26,****,****
4513,1,The Poison Rose,"Crime,Mystery,Thriller",2019,98,26,****,****
5908,4,The Professor and the Madman,"Biography,Drama,History",2019,124,27,****,****
4856,1,Last Knights,"Action,Drama,History",2015,115,27,****,****
6663,4,I.T.,"Crime,Drama,Mystery",2016,95,27,****,****
6733,4,Terminal,"Comedy,Crime,Drama",I 2018,95,27,****,****
1380,4,Songbird,"Drama,Sci-Fi,Thriller",II 2020,84,27,****,****
9464,5,Bunraku,"Action,Drama,Thriller",2010,124,28,****,****
4401,3,6 Souls,"Horror,Thriller",2010,112,28,****,****
9329,1,Infinite,"Action,Sci-Fi,Thriller",2021,106,28,****,****
6118,3,Hick,"Comedy,Drama",2011,99,28,****,****
6429,1,Tokarev,"Action,Thriller",2014,98,28,****,****
8414,4,Survivor,"Action,Crime,Thriller",I 2015,96,28,****,****
3833,3,The Colony,"Action,Horror,Sci-Fi",I 2013,95,28,****,****
4635,2,Once Upon a Time in Venice,"Action,Comedy",2017,94,28,****,****
9609,3,Man Down,"Drama,Thriller,War",I 2015,90,28,****,****
1520,3,Acts of Violence,"Action,Crime,Thriller",2018,86,28,****,****
3421,3,Sap ji sang ciu,"Action,Adventure,Comedy",2012,122,29,****,****
8992,5,Bright,"Action,Fantasy,Thriller",I 2017,117,29,****,****
5129,2,The Postcard Killings,"Crime,Drama,Mystery",2020,104,29,****,****
2053,2,Noel,Drama,2004,96,29,****,****
903,3,The Girl Next Door,"Crime,Drama,Horror",2007,91,29,****,****
7148,4,13,"Crime,Drama,Thriller",I 2010,91,29,****,****
3420,4,Vehicle 19,"Action,Crime,Thriller",2013,85,29,****,****
5954,2,The School for Good and Evil,"Action,Comedy,Drama",2022,147,30,****,****
3654,3,USS Indianapolis: Men of Courage,"Action,Drama,History",2016,128,30,****,****
6767,1,Purple Hearts,"Drama,Music,Romance",2022,122,30,****,****
8594,1,The Outsider,"Action,Crime,Drama",I 2018,120,30,****,****
3084,2,Night Train to Lisbon,"Mystery,Romance,Thriller",2013,111,30,****,****
2622,4,Billionaire Boys Club,"Biography,Drama,Thriller",2018,108,30,****,****
6791,4,Playing It Cool,"Comedy,Romance",2014,94,30,****,****
4996,2,Fathers & Daughters,Drama,2015,116,31,****,****
4839,1,Inheritance,"Drama,Mystery,Thriller",I 2020,111,31,****,****
3194,3,The Starling,"Comedy,Drama",2021,102,31,****,****
741,3,The Big White,"Comedy,Crime,Drama",2005,100,31,****,****
2486,1,A Fantastic Fear of Everything,"Comedy,Horror",2012,100,31,****,****
